id,name,team,position,byeWeek,injuryStatus,points,adp
112,Alec Pierce,IND,WR,14,NA,161.4,112
113,Brian Robinson Jr.,WAS,RB,14,NA,159.8,113
114,Javonte Williams,DEN,RB,14,NA,157.9,114
115,Kareem Hunt,KC,RB,6,NA,155.4,115
116,Deebo Samuel,SF,WR,9,NA,153.6,116
117,Jalen Tolbert,DAL,WR,7,NA,152.0,117
118,Derek Carr,NO,QB,12,NA,150.9,118
119,Jaylen Waddle,MIA,WR,6,NA,149.6,119
120,David Njoku,CLE,TE,10,NA,148.5,120
121,Demario Douglas,NE,WR,14,NA,147.7,121
122,Pittsburgh Steelers DST,PIT,DST,9,NA,146.0,122
123,Hunter Henry,NE,TE,14,NA,145.4,123
124,Trevor Lawrence,JAX,QB,12,NA,145.2,124
125,Rome Odunze,CHI,WR,7,NA,144.9,125
126,Mike Gesicki,CIN,TE,12,NA,141.5,126
127,Cade Otton,TB,TE,11,NA,140.6,127
128,Ray-Ray McCloud,ATL,WR,12,NA,140.5,128
129,Tank Dell,HOU,WR,14,NA,140.0,129
130,Adam Thielen,CAR,WR,11,NA,139.5,130
131,Houston Texans DST,HOU,DST,14,NA,139.0,131
132,Chris Godwin,TB,WR,11,NA,137.8,132
133,Alexander Mattison,LV,RB,10,NA,137.4,133
134,Seattle Seahawks DST,SEA,DST,10,NA,136.0,134
135,Nick Westbrook-Ikhine,TEN,WR,5,NA,135.7,135
136,Jalen McMillan,TB,WR,11,NA,135.4,136
137,Daniel Jones,NYG,QB,11,NA,135.3,137
138,Jerome Ford,CLE,RB,10,NA,134.0,138
139,Austin Ekeler,WAS,RB,14,NA,132.3,139
140,Romeo Doubs,GB,WR,10,NA,132.1,140
141,Kyle Pitts,ATL,TE,12,NA,131.2,141
142,Jameis Winston,CLE,QB,10,NA,131.1,142
143,Travis Etienne,JAX,RB,12,NA,130.2,143
144,Marvin Mims,DEN,WR,14,NA,129.5,144
145,Tre Tucker,LV,WR,10,NA,129.3,145
146,Tank Bigsby,JAX,RB,12,NA,129.0,146
147,Justice Hill,BAL,RB,14,NA,127.1,147
148,Allen Lazard,NYJ,WR,12,NA,126.0,148
149,Ameer Abdullah,LV,RB,10,NA,125.2,149
150,Xavier Legette,CAR,WR,11,NA,125.1,150
151,Michael Wilson,ARI,WR,11,NA,124.5,151
152,Jaylen Warren,PIT,RB,9,NA,124.1,152
153,Isaiah Likely,BAL,TE,14,NA,123.7,153
154,Demarcus Robinson,LAR,WR,6,NA,123.5,154
155,Juwan Johnson,NO,TE,12,NA,122.8,155
156,Kayshon Boutte,NE,WR,14,NA,121.9,156
157,Tyler Conklin,NYJ,TE,12,NA,121.9,157
158,Stefon Diggs,HOU,WR,14,NA,121.9,158
159,Tyler Lockett,SEA,WR,10,NA,121.0,159
160,Elijah Moore,CLE,WR,10,NA,120.9,160
161,Cole Kmet,CHI,TE,7,NA,120.4,161
162,Andrei Iosivas,CIN,WR,12,NA,119.9,162
163,Will Levis,TEN,QB,5,NA,119.9,163
164,Justin Fields,PIT,QB,9,NA,119.1,164
165,Calvin Austin III,PIT,WR,9,NA,118.8,165
